poll_vote_id,poll_choice_id,userid,created
1,8,112,2007-12-23 19:02:13 UTC
2,4,112,2007-12-23 19:02:21 UTC
3,11,107,2007-12-26 19:44:50 UTC
4,2,107,2007-12-26 19:45:05 UTC
5,3,107,2007-12-26 19:45:05 UTC
6,10,106,2007-12-26 20:16:13 UTC
7,1,106,2007-12-26 20:16:25 UTC
8,1,109,2007-12-26 20:27:43 UTC
9,12,103,2007-12-27 15:41:01 UTC
10,1,103,2007-12-27 15:41:05 UTC
11,12,105,2007-12-27 15:41:35 UTC
12,3,105,2007-12-27 15:41:51 UTC
13,4,105,2007-12-27 15:41:51 UTC
14,6,105,2007-12-27 15:41:51 UTC
